N	numinstance	numrun	fitness	budget
100	3	5	6445	10901
100	3	6	6449	13901
100	3	7	6416	15001
100	3	8	6265	13101
100	3	9	6366	10801
100	3	10	6059	9801
100	3	11	6416	13201
100	3	12	6449	12801
100	3	13	6280	18101
100	3	14	6445	10501
100	3	15	6400	11401
100	3	16	6451	11601
100	3	17	6422	13401
100	3	18	6369	12001
100	3	19	6451	16601
100	3	20	6369	14101
100	3	21	6230	12801
100	3	22	6478	15301
100	3	23	6449	12401
100	3	24	6176	13501
100	3	25	6451	14001
100	3	26	6350	11201
100	3	27	6451	17301
100	3	28	6265	12901
100	3	29	6422	10701
100	3	30	6445	15401
100	3	31	6451	13101
100	3	32	6445	11801
100	3	33	6400	15601
100	3	34	6445	13801
100	3	35	6416	19701
100	3	36	6451	14501
100	3	37	6416	13501
100	3	38	6369	14801
100	3	39	6449	12601
100	3	40	6369	9501
100	3	41	6478	14201
100	3	42	6451	14001
100	3	43	6400	14201
100	3	44	6358	15601
100	3	45	6343	14601
100	3	46	6369	15101
100	3	47	6478	10801
100	3	48	6416	12101
100	3	49	6418	13501
100	3	50	6418	11701
100	3	51	6449	12301
100	3	52	6369	18501
100	3	53	6422	18801
100	3	54	6449	18101
100	3	55	6369	12701
100	3	56	6449	16801
100	3	57	6361	15101
100	3	58	6451	10201
100	3	59	6445	15801
100	3	60	6422	12601
100	3	61	6400	16601
100	3	62	6478	13601
100	3	63	6342	15001
100	3	64	6451	14201
100	3	65	6418	10901
100	3	66	6445	12201
100	3	67	6449	11501
100	3	68	6445	9401
100	3	69	6451	13301
100	3	70	6343	11501
100	3	71	6334	10901
100	3	72	5991	12101
100	4	0	5249	10901
100	4	1	5185	13001
100	4	2	5206	13901
100	4	3	4901	12101
100	4	4	5253	11901
100	4	5	4764	14701
100	4	6	5214	15901
100	4	7	5214	11701
100	4	8	5148	16301
100	4	9	5133	17601
100	4	10	5202	11901
100	4	11	5043	15801
100	4	12	5249	16001
100	4	13	5221	11101
100	4	14	5134	11901
100	4	15	5210	17401
100	4	16	5186	11301
100	4	17	5179	13401
100	4	18	5182	13301
100	4	19	5179	12201
100	4	20	5016	15901
100	4	21	5296	13401
100	4	22	5249	15901
100	4	23	5210	16901
100	4	24	5205	12901
100	4	25	5079	18201
100	4	26	5103	15201
100	4	27	5221	16701
100	4	28	5249	13101
100	4	29	5249	13201
100	4	30	5133	13601
100	4	31	5176	12501
100	4	32	5139	13801
100	4	33	5023	13101
100	4	34	5249	13701
100	4	35	5214	13601
100	4	36	5158	14301
100	4	37	5249	15001
100	4	38	5182	11301
100	4	39	5232	14401
100	4	40	5296	14601
100	4	41	4995	10701
100	4	42	5154	18601
100	4	43	5186	14501
100	4	44	5276	19001
100	4	45	5178	11801
100	4	46	5296	11001
100	4	47	4734	11901
100	4	48	5293	15801
100	4	49	5138	13901
100	4	50	5214	12901
100	4	51	5293	15901
100	4	52	4965	14801
100	4	53	5186	11901
100	4	54	5178	11801
100	4	55	5296	14201
100	4	56	5165	13901
100	4	57	5152	8301
100	4	58	5210	15201
100	4	59	5182	12901
100	4	60	5182	17501
100	4	61	5296	16301
100	4	62	5250	17401
100	4	63	5298	10301
100	4	64	5250	11301
100	4	65	5083	9601
100	4	66	5253	15301
100	4	67	5206	11601
100	4	68	5127	14601
100	4	69	5210	16301
100	4	70	5225	11701
100	4	71	5296	12501
100	5	0	4255	11501
100	5	1	4346	14501
100	5	2	4320	9301
100	5	3	4369	15901
100	5	4	4490	15201
100	5	5	4403	14301
100	5	6	4339	16401
100	5	7	4020	13101
100	5	8	4341	13101
100	5	9	4262	11301
100	5	10	4268	19401
100	5	11	4358	15301
100	5	12	4443	10701
100	5	13	4065	17401
100	5	14	4479	13501
100	5	15	4340	13701
100	5	16	4403	12801
100	5	17	4444	12601
100	5	18	4176	14101
100	5	19	4425	14001
100	5	20	4432	12401
100	5	21	4292	14801
100	5	22	4135	9701
100	5	23	4429	14401
100	5	24	4392	14701
100	5	25	4326	11801
100	5	26	4386	19501
100	5	27	4277	16101
100	5	28	4391	9501
100	5	29	4233	11601
100	5	30	3741	11901
100	5	31	4360	12301
100	5	32	4175	9001
100	5	33	4398	16101
100	5	34	4462	13801
100	5	35	4437	14901
100	5	36	4362	16001
100	5	37	4175	18701
100	5	38	4280	10801
100	5	39	4345	17601
100	5	40	4272	12201
100	5	41	4323	13801
100	5	42	4159	11501
100	5	43	4258	10601
100	5	44	4439	17801
100	5	45	4207	13501
100	5	46	4293	9301
100	5	47	4290	16101
100	5	48	4261	17101
100	5	49	4296	14601
100	5	50	4292	10901
100	5	51	4114	12701
100	5	52	4345	15601
100	5	53	4310	13801
100	5	54	4299	14001
100	5	55	4346	12001
100	5	56	4395	15201
100	5	57	4368	15801
100	5	58	4104	12101
100	5	59	4263	15301
100	5	60	4289	9501
100	5	61	4295	10601
100	5	62	4292	13201
100	5	63	4281	15801
100	5	64	4290	11801
100	5	65	4316	10901
100	5	66	4346	12501
100	5	67	4262	10001
100	5	68	4412	14501
100	5	69	4393	15601
100	5	70	4374	11801
100	5	71	4402	11101
100	5	72	4339	12401
100	6	0	4992	17501
100	6	1	4890	11301
100	6	2	5202	17501
100	6	3	5143	15401
100	6	4	5115	14901
100	6	5	5160	16601
100	6	6	5159	11001
100	6	7	5113	15801
100	6	8	5208	12401
100	6	9	5188	18001
100	6	10	5110	12301
100	6	11	5159	16201
100	6	12	5062	10601
100	6	13	5222	16501
100	6	14	5108	14101
100	6	15	5125	12001
100	6	16	5221	14601
100	6	17	5208	13801
100	6	18	5208	12601
100	6	19	5182	11801
100	6	20	5235	11001
100	6	21	5029	16601
100	6	22	5216	14801
100	6	23	4888	15301
100	6	24	5214	15401
100	6	25	5195	13101
100	6	26	5028	12801
100	6	27	5184	14101
100	6	28	4491	16201
100	6	29	5169	15101
100	6	30	5143	15601
100	6	31	5223	14501
100	6	32	5008	17301
100	6	33	5160	16701
100	6	34	5235	12501
100	6	35	5060	15101
100	6	36	5159	12601
100	6	37	5198	15701
100	6	38	5006	13701
100	6	39	5054	10801
100	6	40	5077	15001
100	6	41	5093	13801
100	6	42	5234	13501
100	6	43	5214	10401
100	6	44	5189	18301
