N	numinstance	numrun	fitness	budget
100	1	79	3777	6154
100	1	80	3837	5353
100	1	81	3858	4778
100	1	82	3867	6353
100	1	83	3926	6987
100	1	84	3929	6337
100	1	85	3856	6572
100	1	86	3873	5808
100	1	87	3821	6518
100	1	88	3919	6744
100	1	89	3929	4837
100	1	90	3757	5774
100	1	91	3812	5798
100	1	92	3876	5470
100	1	93	3915	4824
100	1	94	3900	6505
100	1	95	3901	8290
100	1	96	3759	6867
100	1	97	3846	5959
100	1	98	3926	5028
100	1	99	3900	5555
100	1	100	3889	5870
100	1	101	3887	6209
100	1	102	3934	5337
100	1	103	3777	6166
100	1	104	3873	6417
100	1	105	3549	5374
100	1	106	3769	5272
100	1	107	3896	5059
100	1	108	3902	5981
100	1	109	3764	5781
100	1	110	3867	6157
100	1	111	3955	7149
100	1	112	3934	5374
100	1	113	3832	6555
100	1	114	3814	5292
100	1	115	3701	5707
100	1	116	3782	7166
100	1	117	3823	6191
100	1	118	3934	5239
100	1	119	3934	6008
100	1	120	3926	6990
100	1	121	3782	5322
100	1	122	3869	6316
100	1	123	3900	5658
100	1	124	3919	6171
100	1	125	3902	4602
100	1	126	3932	5697
100	1	127	3926	6159
100	1	128	3873	5501
100	1	129	3955	8834
100	1	130	3934	5543
100	1	131	3727	5415
100	1	132	3789	5998
100	1	133	3929	6035
100	1	134	3897	6311
100	1	135	3932	5328
100	1	136	3926	6702
100	1	137	3926	7859
100	1	138	3919	5351
100	1	139	3934	5401
100	1	140	3736	6528
100	1	141	3929	5040
100	1	142	3929	5232
100	1	143	3901	5314
100	1	144	3934	6469
100	1	145	3808	5843
100	1	146	3845	5230
100	1	147	3955	8370
100	1	148	3900	6335
100	1	149	3906	6047
100	1	150	3941	5219
100	1	151	3934	6460
100	1	152	3865	5374
100	1	153	3919	6955
100	1	154	3929	5521
100	1	155	3932	7278
100	1	156	3869	7045
100	1	157	3848	7604
100	1	158	3878	6241
100	1	159	3538	6660
100	1	160	3929	5805
100	1	161	3897	4877
100	1	162	3873	5189
100	1	163	3915	6679
100	1	164	3852	7239
100	2	0	5562	7166
100	2	1	5584	7967
100	2	2	5539	5561
100	2	3	5542	6861
100	2	4	5589	6712
100	2	5	5562	6478
100	2	6	5364	5399
100	2	7	5582	6164
100	2	8	5589	6295
100	2	9	5589	6930
100	2	10	5461	5399
100	2	11	5560	5876
100	2	12	5584	7521
100	2	13	5582	7497
100	2	14	5503	5519
100	2	15	5549	7191
100	2	16	5589	7673
100	2	17	5584	7324
100	2	18	5589	6209
100	2	19	5575	5739
100	2	20	5461	7677
100	2	21	5558	6825
100	2	22	5582	6238
100	2	23	5589	8055
100	2	24	5491	5063
100	2	25	5584	7950
100	2	26	5565	6996
100	2	27	5358	6608
100	2	28	5584	5692
100	2	29	5532	6853
100	2	30	5589	6683
100	2	31	5574	5721
100	2	32	5584	7621
100	2	33	5465	6276
100	2	34	5565	4682
100	2	35	5589	5975
100	2	36	5502	5893
100	2	37	5533	5202
100	2	38	5584	7869
100	2	39	5528	5358
100	2	40	5542	6396
100	2	41	5589	5543
100	2	42	5571	6970
100	2	43	5503	5226
100	2	44	5533	6673
100	2	45	5489	6196
100	2	46	5512	7450
100	2	47	5542	5997
100	2	48	5376	5668
100	2	49	5584	7463
100	2	50	5589	6934
100	2	51	5589	5928
100	2	52	5523	6846
100	2	53	5589	8258
100	2	54	5589	7921
100	2	55	5589	6592
100	2	56	5574	7527
100	2	57	5538	6926
100	2	58	5565	6463
100	2	59	5575	7483
100	2	60	5539	6427
100	2	61	5578	5264
100	2	62	5542	6699
100	2	63	5571	7580
100	2	64	5489	5743
100	2	65	5532	6031
100	2	66	5533	6328
100	2	67	5575	4972
100	2	68	5571	6786
100	2	69	5575	6854
100	2	70	5584	6514
100	2	71	5539	7443
100	2	72	5562	6801
100	2	73	5584	4733
100	2	74	5532	6416
100	2	75	5539	6335
100	2	76	5542	7852
100	2	77	5533	7469
100	2	78	5533	6328
100	2	79	5582	7374
100	2	80	5551	6920
100	2	81	5539	5268
100	2	82	5505	5882
100	2	83	5589	6529
100	2	84	5413	6159
100	2	85	5450	7043
100	2	86	5574	6909
100	2	87	5584	5640
100	2	88	5578	5814
100	2	89	5574	8241
