N	numinstance	numrun	budget	fitness	comment
100	9	5	10000	5499	numrun=seeds%10
100	9	6	10000	5634	numrun=seeds%10
100	9	7	10000	5670	numrun=seeds%10
100	9	8	10000	5559	numrun=seeds%10
100	9	9	10000	5670	numrun=seeds%10
100	9	0	100000	5670	numrun=seeds%10
100	9	1	100000	5670	numrun=seeds%10
100	9	2	100000	5670	numrun=seeds%10
100	9	3	100000	5670	numrun=seeds%10
100	9	4	100000	5670	numrun=seeds%10
100	9	5	100000	5670	numrun=seeds%10
100	9	6	100000	5670	numrun=seeds%10
100	9	7	100000	5670	numrun=seeds%10
100	9	8	100000	5670	numrun=seeds%10
100	9	9	100000	5670	numrun=seeds%10
100	9	0	1000000	5670	only one run (every seed)
250	0	0	10000	11320	numrun=seeds%10
250	0	1	10000	10928	numrun=seeds%10
250	0	2	10000	9061	numrun=seeds%10
250	0	3	10000	9980	numrun=seeds%10
250	0	4	10000	10234	numrun=seeds%10
250	0	5	10000	8707	numrun=seeds%10
250	0	6	10000	12605	numrun=seeds%10
250	0	7	10000	11365	numrun=seeds%10
250	0	8	10000	10632	numrun=seeds%10
250	0	9	10000	8465	numrun=seeds%10
250	0	0	100000	22387	numrun=seeds%10
250	0	1	100000	22663	numrun=seeds%10
250	0	2	100000	22905	numrun=seeds%10
250	0	3	100000	22853	numrun=seeds%10
250	0	4	100000	22615	numrun=seeds%10
250	0	5	100000	22551	numrun=seeds%10
250	0	6	100000	22903	numrun=seeds%10
250	0	7	100000	22905	numrun=seeds%10
250	0	8	100000	22392	numrun=seeds%10
250	0	9	100000	22419	numrun=seeds%10
250	0	0	1000000	22905	only one run (every seed)
250	1	0	10000	11114	numrun=seeds%10
250	1	1	10000	10142	numrun=seeds%10
250	1	2	10000	12537	numrun=seeds%10
250	1	3	10000	12062	numrun=seeds%10
250	1	4	10000	11320	numrun=seeds%10
250	1	5	10000	13121	numrun=seeds%10
250	1	6	10000	9266	numrun=seeds%10
250	1	7	10000	11346	numrun=seeds%10
250	1	8	10000	10786	numrun=seeds%10
250	1	9	10000	11887	numrun=seeds%10
250	1	0	100000	22196	numrun=seeds%10
250	1	1	100000	22370	numrun=seeds%10
250	1	2	100000	22537	numrun=seeds%10
250	1	3	100000	22406	numrun=seeds%10
250	1	4	100000	22586	numrun=seeds%10
250	1	5	100000	22452	numrun=seeds%10
250	1	6	100000	22122	numrun=seeds%10
250	1	7	100000	22503	numrun=seeds%10
250	1	8	100000	22419	numrun=seeds%10
250	1	9	100000	22385	numrun=seeds%10
250	1	0	1000000	22586	only one run (every seed)
