N	numinstance	numrun	budget	fitness	comment
100	6	0	10000	5228	numrun=seeds%10
100	6	0	100000	5243	numrun=seeds%10
100	6	1	10000	5228	numrun=seeds%10
100	6	1	100000	5234	numrun=seeds%10
100	6	2	10000	5243	numrun=seeds%10
100	6	2	100000	5243	numrun=seeds%10
100	6	3	10000	5234	numrun=seeds%10
100	6	3	100000	5243	numrun=seeds%10
100	6	4	10000	5221	numrun=seeds%10
100	6	4	100000	5243	numrun=seeds%10
100	6	5	10000	5237	numrun=seeds%10
100	6	5	100000	5237	numrun=seeds%10
100	6	6	10000	5223	numrun=seeds%10
100	6	6	100000	5243	numrun=seeds%10
100	6	7	10000	5214	numrun=seeds%10
100	6	7	100000	5243	numrun=seeds%10
100	6	8	10000	5235	numrun=seeds%10
100	6	8	100000	5243	numrun=seeds%10
100	6	9	10000	5214	numrun=seeds%10
100	6	9	100000	5237	numrun=seeds%10
100	6	0	1000000	5243	only one run (every seed)
100	7	0	10000	4999	numrun=seeds%10
100	7	0	100000	5015	numrun=seeds%10
100	7	1	10000	4993	numrun=seeds%10
100	7	1	100000	5015	numrun=seeds%10
100	7	2	10000	4982	numrun=seeds%10
100	7	2	100000	4999	numrun=seeds%10
100	7	3	10000	4981	numrun=seeds%10
100	7	3	100000	4999	numrun=seeds%10
100	7	4	10000	4982	numrun=seeds%10
100	7	4	100000	5015	numrun=seeds%10
100	7	5	10000	4990	numrun=seeds%10
100	7	5	100000	4999	numrun=seeds%10
100	7	6	10000	4999	numrun=seeds%10
100	7	6	100000	4999	numrun=seeds%10
100	7	7	10000	4999	numrun=seeds%10
100	7	7	100000	5015	numrun=seeds%10
100	7	8	10000	4968	numrun=seeds%10
100	7	8	100000	4999	numrun=seeds%10
100	7	9	10000	4969	numrun=seeds%10
100	7	9	100000	4999	numrun=seeds%10
100	7	0	1000000	5015	only one run (every seed)
100	8	0	10000	5640	numrun=seeds%10
100	8	0	100000	5690	numrun=seeds%10
100	8	1	10000	5664	numrun=seeds%10
100	8	1	100000	5690	numrun=seeds%10
100	8	2	10000	5682	numrun=seeds%10
100	8	2	100000	5690	numrun=seeds%10
100	8	3	10000	5664	numrun=seeds%10
100	8	3	100000	5690	numrun=seeds%10
100	8	4	10000	5690	numrun=seeds%10
100	8	4	100000	5690	numrun=seeds%10
100	8	5	10000	5640	numrun=seeds%10
100	8	5	100000	5690	numrun=seeds%10
100	8	6	10000	5656	numrun=seeds%10
100	8	6	100000	5690	numrun=seeds%10
100	8	7	10000	5690	numrun=seeds%10
100	8	7	100000	5690	numrun=seeds%10
100	8	8	10000	5650	numrun=seeds%10
100	8	8	100000	5671	numrun=seeds%10
100	8	9	10000	5690	numrun=seeds%10
100	8	9	100000	5690	numrun=seeds%10
100	8	0	1000000	5690	only one run (every seed)
100	9	0	10000	5670	numrun=seeds%10
100	9	0	100000	5670	numrun=seeds%10
100	9	1	10000	5670	numrun=seeds%10
100	9	1	100000	5670	numrun=seeds%10
100	9	2	10000	5670	numrun=seeds%10
100	9	2	100000	5670	numrun=seeds%10
100	9	3	10000	5670	numrun=seeds%10
100	9	3	100000	5670	numrun=seeds%10
100	9	4	10000	5670	numrun=seeds%10
100	9	4	100000	5670	numrun=seeds%10
100	9	5	10000	5670	numrun=seeds%10
100	9	5	100000	5670	numrun=seeds%10
100	9	6	10000	5670	numrun=seeds%10
100	9	6	100000	5670	numrun=seeds%10
100	9	7	10000	5670	numrun=seeds%10
100	9	7	100000	5670	numrun=seeds%10
100	9	8	10000	5670	numrun=seeds%10
100	9	8	100000	5670	numrun=seeds%10
100	9	9	10000	5670	numrun=seeds%10
100	9	9	100000	5670	numrun=seeds%10
100	9	0	1000000	5670	only one run (every seed)
250	0	0	10000	22905	numrun=seeds%10
250	0	0	100000	22905	numrun=seeds%10
250	0	1	10000	22856	numrun=seeds%10
250	0	1	100000	22905	numrun=seeds%10
250	0	2	10000	22905	numrun=seeds%10
250	0	2	100000	22905	numrun=seeds%10
250	0	3	10000	22645	numrun=seeds%10
250	0	3	100000	22866	numrun=seeds%10
250	0	4	10000	22749	numrun=seeds%10
250	0	4	100000	22879	numrun=seeds%10
250	0	5	10000	22848	numrun=seeds%10
250	0	5	100000	22903	numrun=seeds%10
250	0	6	10000	22662	numrun=seeds%10
250	0	6	100000	22864	numrun=seeds%10
250	0	7	10000	22624	numrun=seeds%10
250	0	7	100000	22903	numrun=seeds%10
250	0	8	10000	22845	numrun=seeds%10
250	0	8	100000	22905	numrun=seeds%10
250	0	9	10000	22848	numrun=seeds%10
250	0	9	100000	22872	numrun=seeds%10
250	0	0	1000000	22905	only one run (every seed)
250	1	0	10000	21962	numrun=seeds%10
250	1	0	100000	22555	numrun=seeds%10
250	1	1	10000	22002	numrun=seeds%10
250	1	1	100000	22535	numrun=seeds%10
250	1	2	10000	22193	numrun=seeds%10
250	1	2	100000	22556	numrun=seeds%10
250	1	3	10000	22549	numrun=seeds%10
