N	numinstance	numrun	budget	fitness	comment
100	7	1	10000	4854	numrun=seeds%10
100	7	1	100000	4993	numrun=seeds%10
100	7	2	10000	4943	numrun=seeds%10
100	7	2	100000	5015	numrun=seeds%10
100	7	3	10000	4638	numrun=seeds%10
100	7	3	100000	4999	numrun=seeds%10
100	7	4	10000	4941	numrun=seeds%10
100	7	4	100000	4993	numrun=seeds%10
100	7	5	10000	4937	numrun=seeds%10
100	7	5	100000	4990	numrun=seeds%10
100	7	6	10000	4759	numrun=seeds%10
100	7	6	100000	5015	numrun=seeds%10
100	7	7	10000	4943	numrun=seeds%10
100	7	7	100000	4999	numrun=seeds%10
100	7	8	10000	4846	numrun=seeds%10
100	7	8	100000	4999	numrun=seeds%10
100	7	9	10000	4914	numrun=seeds%10
100	7	9	100000	5015	numrun=seeds%10
100	7	0	1000000	5015	only one run (every seed)
100	8	0	10000	5690	numrun=seeds%10
100	8	0	100000	5690	numrun=seeds%10
100	8	1	10000	5656	numrun=seeds%10
100	8	1	100000	5690	numrun=seeds%10
100	8	2	10000	5690	numrun=seeds%10
100	8	2	100000	5690	numrun=seeds%10
100	8	3	10000	5563	numrun=seeds%10
100	8	3	100000	5690	numrun=seeds%10
100	8	4	10000	5690	numrun=seeds%10
100	8	4	100000	5690	numrun=seeds%10
100	8	5	10000	5441	numrun=seeds%10
100	8	5	100000	5690	numrun=seeds%10
100	8	6	10000	5617	numrun=seeds%10
100	8	6	100000	5690	numrun=seeds%10
100	8	7	10000	5569	numrun=seeds%10
100	8	7	100000	5690	numrun=seeds%10
100	8	8	10000	5422	numrun=seeds%10
100	8	8	100000	5690	numrun=seeds%10
100	8	9	10000	5622	numrun=seeds%10
100	8	9	100000	5682	numrun=seeds%10
100	8	0	1000000	5690	only one run (every seed)
100	9	0	10000	5607	numrun=seeds%10
100	9	0	100000	5670	numrun=seeds%10
100	9	1	10000	5084	numrun=seeds%10
100	9	1	100000	5670	numrun=seeds%10
100	9	2	10000	4677	numrun=seeds%10
