N	numinstance	numrun	budget	fitness	comment
100	7	4	100000	4999	numrun=seeds%10
100	7	5	10000	4982	numrun=seeds%10
100	7	5	100000	4982	numrun=seeds%10
100	7	6	10000	4875	numrun=seeds%10
100	7	6	100000	5015	numrun=seeds%10
100	7	7	10000	4973	numrun=seeds%10
100	7	7	100000	5015	numrun=seeds%10
100	7	8	10000	4964	numrun=seeds%10
100	7	8	100000	5015	numrun=seeds%10
100	7	9	10000	4913	numrun=seeds%10
100	7	9	100000	5015	numrun=seeds%10
100	7	0	1000000	5015	only one run (every seed)
100	8	0	10000	5690	numrun=seeds%10
100	8	0	100000	5690	numrun=seeds%10
100	8	1	10000	5690	numrun=seeds%10
100	8	1	100000	5690	numrun=seeds%10
100	8	2	10000	5690	numrun=seeds%10
100	8	2	100000	5690	numrun=seeds%10
100	8	3	10000	5690	numrun=seeds%10
100	8	3	100000	5690	numrun=seeds%10
100	8	4	10000	5690	numrun=seeds%10
100	8	4	100000	5690	numrun=seeds%10
100	8	5	10000	5523	numrun=seeds%10
100	8	5	100000	5690	numrun=seeds%10
100	8	6	10000	5690	numrun=seeds%10
100	8	6	100000	5690	numrun=seeds%10
100	8	7	10000	5690	numrun=seeds%10
100	8	7	100000	5690	numrun=seeds%10
100	8	8	10000	5602	numrun=seeds%10
100	8	8	100000	5690	numrun=seeds%10
100	8	9	10000	5690	numrun=seeds%10
100	8	9	100000	5690	numrun=seeds%10
100	8	0	1000000	5690	only one run (every seed)
100	9	0	10000	5634	numrun=seeds%10
100	9	0	100000	5670	numrun=seeds%10
100	9	1	10000	5670	numrun=seeds%10
100	9	1	100000	5670	numrun=seeds%10
100	9	2	10000	5670	numrun=seeds%10
100	9	2	100000	5670	numrun=seeds%10
100	9	3	10000	5670	numrun=seeds%10
100	9	3	100000	5670	numrun=seeds%10
100	9	4	10000	5634	numrun=seeds%10
100	9	4	100000	5670	numrun=seeds%10
100	9	5	10000	5634	numrun=seeds%10
100	9	5	100000	5670	numrun=seeds%10
100	9	6	10000	5670	numrun=seeds%10
100	9	6	100000	5670	numrun=seeds%10
100	9	7	10000	5670	numrun=seeds%10
100	9	7	100000	5670	numrun=seeds%10
100	9	8	10000	5559	numrun=seeds%10
100	9	8	100000	5670	numrun=seeds%10
100	9	9	10000	5670	numrun=seeds%10
100	9	9	100000	5670	numrun=seeds%10
100	9	0	1000000	5670	only one run (every seed)
250	0	0	10000	-inf	numrun=seeds%10
250	0	0	100000	22554	numrun=seeds%10
250	0	1	10000	-inf	numrun=seeds%10
250	0	1	100000	22872	numrun=seeds%10
250	0	2	10000	-inf	numrun=seeds%10
250	0	2	100000	22872	numrun=seeds%10
250	0	3	10000	-inf	numrun=seeds%10
250	0	3	100000	22872	numrun=seeds%10
250	0	4	10000	-inf	numrun=seeds%10
250	0	4	100000	22803	numrun=seeds%10
250	0	5	10000	-inf	numrun=seeds%10
250	0	5	100000	22903	numrun=seeds%10
250	0	6	10000	-inf	numrun=seeds%10
250	0	6	100000	22903	numrun=seeds%10
250	0	7	10000	-inf	numrun=seeds%10
250	0	7	100000	22905	numrun=seeds%10
250	0	8	10000	-inf	numrun=seeds%10
250	0	8	100000	22614	numrun=seeds%10
250	0	9	10000	-inf	numrun=seeds%10
250	0	9	100000	22903	numrun=seeds%10
250	0	0	1000000	22905	only one run (every seed)
250	1	0	10000	-inf	numrun=seeds%10
250	1	0	100000	22559	numrun=seeds%10
250	1	1	10000	-inf	numrun=seeds%10
250	1	1	100000	22370	numrun=seeds%10
250	1	2	10000	-inf	numrun=seeds%10
250	1	2	100000	22426	numrun=seeds%10
250	1	3	10000	-inf	numrun=seeds%10
250	1	3	100000	22661	numrun=seeds%10
250	1	4	10000	-inf	numrun=seeds%10
250	1	4	100000	22696	numrun=seeds%10
250	1	5	10000	-inf	numrun=seeds%10
250	1	5	100000	22696	numrun=seeds%10
250	1	6	10000	-inf	numrun=seeds%10
250	1	6	100000	22408	numrun=seeds%10
250	1	7	10000	-inf	numrun=seeds%10
250	1	7	100000	22517	numrun=seeds%10
250	1	8	10000	-inf	numrun=seeds%10
250	1	8	100000	22498	numrun=seeds%10
250	1	9	10000	-inf	numrun=seeds%10
250	1	9	100000	22511	numrun=seeds%10
250	1	0	1000000	22696	only one run (every seed)
