N	numinstance	numrun	budget	fitness	comment
100	5	5	10000	2345	seed=numrun*10^6
100	5	5	100000	4391	seed=numrun*10^6
100	6	5	10000	879	seed=numrun*10^6
100	6	5	100000	5243	seed=numrun*10^6
100	7	5	10000	3379	seed=numrun*10^6
100	7	5	100000	4958	seed=numrun*10^6
100	8	5	10000	5586	seed=numrun*10^6
100	8	5	100000	5656	seed=numrun*10^6
100	9	5	10000	5621	seed=numrun*10^6
100	9	5	100000	5661	seed=numrun*10^6
100	0	6	10000	2572	seed=numrun*10^6
100	0	6	100000	6218	seed=numrun*10^6
100	1	6	10000	3764	seed=numrun*10^6
100	1	6	100000	3863	seed=numrun*10^6
100	2	6	10000	2510	seed=numrun*10^6
100	2	6	100000	5452	seed=numrun*10^6
100	3	6	10000	3617	seed=numrun*10^6
100	3	6	100000	6451	seed=numrun*10^6
100	4	6	10000	4094	seed=numrun*10^6
100	4	6	100000	5300	seed=numrun*10^6
100	5	6	10000	2352	seed=numrun*10^6
100	5	6	100000	4444	seed=numrun*10^6
100	6	6	10000	1789	seed=numrun*10^6
100	6	6	100000	5243	seed=numrun*10^6
100	7	6	10000	2421	seed=numrun*10^6
100	7	6	100000	4970	seed=numrun*10^6
100	8	6	10000	3045	seed=numrun*10^6
100	8	6	100000	5671	seed=numrun*10^6
100	9	6	10000	3344	seed=numrun*10^6
100	9	6	100000	5670	seed=numrun*10^6
100	0	7	10000	3531	seed=numrun*10^6
100	0	7	100000	6200	seed=numrun*10^6
100	1	7	10000	1105	seed=numrun*10^6
100	1	7	100000	3888	seed=numrun*10^6
100	2	7	10000	5411	seed=numrun*10^6
100	2	7	100000	5584	seed=numrun*10^6
100	3	7	10000	3645	seed=numrun*10^6
100	3	7	100000	6478	seed=numrun*10^6
100	4	7	10000	2886	seed=numrun*10^6
100	4	7	100000	5253	seed=numrun*10^6
100	5	7	10000	2538	seed=numrun*10^6
100	5	7	100000	4448	seed=numrun*10^6
100	6	7	10000	5009	seed=numrun*10^6
100	6	7	100000	5243	seed=numrun*10^6
100	7	7	10000	2159	seed=numrun*10^6
100	7	7	100000	4982	seed=numrun*10^6
100	8	7	10000	2856	seed=numrun*10^6
100	8	7	100000	5640	seed=numrun*10^6
100	9	7	10000	5605	seed=numrun*10^6
100	9	7	100000	5670	seed=numrun*10^6
100	0	8	10000	3233	seed=numrun*10^6
100	0	8	100000	6218	seed=numrun*10^6
100	1	8	10000	1724	seed=numrun*10^6
100	1	8	100000	3793	seed=numrun*10^6
100	2	8	10000	2645	seed=numrun*10^6
100	2	8	100000	5582	seed=numrun*10^6
100	3	8	10000	5020	seed=numrun*10^6
100	3	8	100000	6451	seed=numrun*10^6
100	4	8	10000	5121	seed=numrun*10^6
100	4	8	100000	5303	seed=numrun*10^6
100	5	8	10000	1752	seed=numrun*10^6
100	5	8	100000	4443	seed=numrun*10^6
100	6	8	10000	1938	seed=numrun*10^6
100	6	8	100000	5234	seed=numrun*10^6
100	7	8	10000	3197	seed=numrun*10^6
100	7	8	100000	4966	seed=numrun*10^6
100	8	8	10000	1625	seed=numrun*10^6
100	8	8	100000	5690	seed=numrun*10^6
100	9	8	10000	3388	seed=numrun*10^6
100	9	8	100000	5670	seed=numrun*10^6
100	0	9	10000	2728	seed=numrun*10^6
100	0	9	100000	6174	seed=numrun*10^6
100	1	9	10000	1633	seed=numrun*10^6
100	1	9	100000	3859	seed=numrun*10^6
100	2	9	10000	2524	seed=numrun*10^6
100	2	9	100000	5587	seed=numrun*10^6
100	3	9	10000	3910	seed=numrun*10^6
100	3	9	100000	6451	seed=numrun*10^6
100	4	9	10000	4016	seed=numrun*10^6
100	4	9	100000	5225	seed=numrun*10^6
100	5	9	10000	1716	seed=numrun*10^6
100	5	9	100000	4417	seed=numrun*10^6
100	6	9	10000	2609	seed=numrun*10^6
100	6	9	100000	5228	seed=numrun*10^6
100	7	9	10000	1017	seed=numrun*10^6
100	7	9	100000	4981	seed=numrun*10^6
100	8	9	10000	2765	seed=numrun*10^6
100	8	9	100000	5664	seed=numrun*10^6
100	9	9	10000	5605	seed=numrun*10^6
100	9	9	100000	5670	seed=numrun*10^6
