N	numinstance	numrun	budget	fitness	comment
100	6	6	100000	5243	seed=numrun*10^6
100	7	6	10000	4808	seed=numrun*10^6
100	7	6	100000	5015	seed=numrun*10^6
100	8	6	10000	5376	seed=numrun*10^6
100	8	6	100000	5690	seed=numrun*10^6
100	9	6	10000	5670	seed=numrun*10^6
100	9	6	100000	5670	seed=numrun*10^6
100	0	7	10000	6198	seed=numrun*10^6
100	0	7	100000	6219	seed=numrun*10^6
100	1	7	10000	3818	seed=numrun*10^6
100	1	7	100000	3934	seed=numrun*10^6
100	2	7	10000	5542	seed=numrun*10^6
100	2	7	100000	5589	seed=numrun*10^6
100	3	7	10000	6457	seed=numrun*10^6
100	3	7	100000	6478	seed=numrun*10^6
100	4	7	10000	4880	seed=numrun*10^6
100	4	7	100000	5303	seed=numrun*10^6
100	5	7	10000	4497	seed=numrun*10^6
100	5	7	100000	4498	seed=numrun*10^6
100	6	7	10000	5222	seed=numrun*10^6
100	6	7	100000	5243	seed=numrun*10^6
100	7	7	10000	4686	seed=numrun*10^6
100	7	7	100000	5015	seed=numrun*10^6
100	8	7	10000	5645	seed=numrun*10^6
100	8	7	100000	5690	seed=numrun*10^6
100	9	7	10000	5516	seed=numrun*10^6
100	9	7	100000	5670	seed=numrun*10^6
100	0	8	10000	6219	seed=numrun*10^6
100	0	8	100000	6219	seed=numrun*10^6
100	1	8	10000	3929	seed=numrun*10^6
100	1	8	100000	3934	seed=numrun*10^6
100	2	8	10000	5423	seed=numrun*10^6
100	2	8	100000	5584	seed=numrun*10^6
100	3	8	10000	6449	seed=numrun*10^6
100	3	8	100000	6478	seed=numrun*10^6
100	4	8	10000	5303	seed=numrun*10^6
100	4	8	100000	5303	seed=numrun*10^6
100	5	8	10000	4498	seed=numrun*10^6
100	5	8	100000	4498	seed=numrun*10^6
100	6	8	10000	5211	seed=numrun*10^6
100	6	8	100000	5235	seed=numrun*10^6
100	7	8	10000	4720	seed=numrun*10^6
100	7	8	100000	5015	seed=numrun*10^6
100	8	8	10000	5545	seed=numrun*10^6
100	8	8	100000	5690	seed=numrun*10^6
100	9	8	10000	5182	seed=numrun*10^6
100	9	8	100000	5670	seed=numrun*10^6
100	0	9	10000	5900	seed=numrun*10^6
100	0	9	100000	6219	seed=numrun*10^6
100	1	9	10000	3758	seed=numrun*10^6
100	1	9	100000	3934	seed=numrun*10^6
100	2	9	10000	4936	seed=numrun*10^6
100	2	9	100000	5589	seed=numrun*10^6
100	3	9	10000	6245	seed=numrun*10^6
100	3	9	100000	6478	seed=numrun*10^6
100	4	9	10000	5303	seed=numrun*10^6
100	4	9	100000	5303	seed=numrun*10^6
100	5	9	10000	3997	seed=numrun*10^6
100	5	9	100000	4498	seed=numrun*10^6
100	6	9	10000	5045	seed=numrun*10^6
100	6	9	100000	5222	seed=numrun*10^6
100	7	9	10000	4792	seed=numrun*10^6
100	7	9	100000	4993	seed=numrun*10^6
100	8	9	10000	5367	seed=numrun*10^6
100	8	9	100000	5690	seed=numrun*10^6
100	9	9	10000	5634	seed=numrun*10^6
100	9	9	100000	5670	seed=numrun*10^6
