N	numinstance	numrun	budget	fitness	comment
100	5	5	10000	4497	seed=numrun*10^6
100	5	5	100000	4498	seed=numrun*10^6
100	6	5	10000	5228	seed=numrun*10^6
100	6	5	100000	5235	seed=numrun*10^6
100	7	5	10000	4982	seed=numrun*10^6
100	7	5	100000	4987	seed=numrun*10^6
100	8	5	10000	5690	seed=numrun*10^6
100	8	5	100000	5690	seed=numrun*10^6
100	9	5	10000	5670	seed=numrun*10^6
100	9	5	100000	5670	seed=numrun*10^6
100	0	6	10000	6192	seed=numrun*10^6
100	0	6	100000	6219	seed=numrun*10^6
100	1	6	10000	3955	seed=numrun*10^6
100	1	6	100000	3955	seed=numrun*10^6
100	2	6	10000	5587	seed=numrun*10^6
100	2	6	100000	5589	seed=numrun*10^6
100	3	6	10000	6478	seed=numrun*10^6
100	3	6	100000	6478	seed=numrun*10^6
100	4	6	10000	5303	seed=numrun*10^6
100	4	6	100000	5303	seed=numrun*10^6
100	5	6	10000	4429	seed=numrun*10^6
100	5	6	100000	4498	seed=numrun*10^6
100	6	6	10000	5197	seed=numrun*10^6
100	6	6	100000	5235	seed=numrun*10^6
100	7	6	10000	4959	seed=numrun*10^6
100	7	6	100000	4999	seed=numrun*10^6
100	8	6	10000	5690	seed=numrun*10^6
100	8	6	100000	5690	seed=numrun*10^6
100	9	6	10000	5670	seed=numrun*10^6
100	9	6	100000	5670	seed=numrun*10^6
100	0	7	10000	6200	seed=numrun*10^6
100	0	7	100000	6210	seed=numrun*10^6
100	1	7	10000	3932	seed=numrun*10^6
100	1	7	100000	3955	seed=numrun*10^6
100	2	7	10000	5558	seed=numrun*10^6
100	2	7	100000	5587	seed=numrun*10^6
100	3	7	10000	6371	seed=numrun*10^6
100	3	7	100000	6478	seed=numrun*10^6
100	4	7	10000	5303	seed=numrun*10^6
100	4	7	100000	5303	seed=numrun*10^6
100	5	7	10000	4498	seed=numrun*10^6
100	5	7	100000	4498	seed=numrun*10^6
100	6	7	10000	5222	seed=numrun*10^6
100	6	7	100000	5243	seed=numrun*10^6
100	7	7	10000	4983	seed=numrun*10^6
100	7	7	100000	5015	seed=numrun*10^6
100	8	7	10000	5523	seed=numrun*10^6
100	8	7	100000	5690	seed=numrun*10^6
100	9	7	10000	5670	seed=numrun*10^6
100	9	7	100000	5670	seed=numrun*10^6
100	0	8	10000	6219	seed=numrun*10^6
100	0	8	100000	6219	seed=numrun*10^6
100	1	8	10000	3906	seed=numrun*10^6
100	1	8	100000	3955	seed=numrun*10^6
100	2	8	10000	5575	seed=numrun*10^6
100	2	8	100000	5589	seed=numrun*10^6
100	3	8	10000	6478	seed=numrun*10^6
100	3	8	100000	6478	seed=numrun*10^6
100	4	8	10000	5301	seed=numrun*10^6
100	4	8	100000	5301	seed=numrun*10^6
100	5	8	10000	4474	seed=numrun*10^6
100	5	8	100000	4498	seed=numrun*10^6
100	6	8	10000	5228	seed=numrun*10^6
100	6	8	100000	5243	seed=numrun*10^6
100	7	8	10000	4993	seed=numrun*10^6
100	7	8	100000	4993	seed=numrun*10^6
100	8	8	10000	5690	seed=numrun*10^6
100	8	8	100000	5690	seed=numrun*10^6
100	9	8	10000	5670	seed=numrun*10^6
100	9	8	100000	5670	seed=numrun*10^6
100	0	9	10000	6210	seed=numrun*10^6
100	0	9	100000	6219	seed=numrun*10^6
100	1	9	10000	3782	seed=numrun*10^6
100	1	9	100000	3934	seed=numrun*10^6
100	2	9	10000	5589	seed=numrun*10^6
100	2	9	100000	5589	seed=numrun*10^6
100	3	9	10000	6415	seed=numrun*10^6
100	3	9	100000	6478	seed=numrun*10^6
100	4	9	10000	5303	seed=numrun*10^6
100	4	9	100000	5303	seed=numrun*10^6
100	5	9	10000	4498	seed=numrun*10^6
100	5	9	100000	4498	seed=numrun*10^6
100	6	9	10000	5213	seed=numrun*10^6
100	6	9	100000	5235	seed=numrun*10^6
100	7	9	10000	4981	seed=numrun*10^6
100	7	9	100000	4990	seed=numrun*10^6
100	8	9	10000	5690	seed=numrun*10^6
100	8	9	100000	5690	seed=numrun*10^6
100	9	9	10000	5670	seed=numrun*10^6
100	9	9	100000	5670	seed=numrun*10^6
