N	K	numinstance	budget	fitness
100	0	9	10000	0.6412390000000001
100	0	9	100000	0.684029
100	0	9	1000000	0.684029
100	1	0	10000	0.638692
100	1	0	100000	0.7023959999999999
100	1	0	1000000	0.7023959999999999
100	1	1	10000	0.673087
100	1	1	100000	0.679267
100	1	1	1000000	0.6815640000000001
100	1	2	10000	0.6438379999999999
100	1	2	100000	0.7093590000000001
100	1	2	1000000	0.7093590000000001
100	1	3	10000	0.644796
100	1	3	100000	0.696561
100	1	3	1000000	0.697618
100	1	4	10000	0.6587179999999999
100	1	4	100000	0.6975790000000001
100	1	4	1000000	0.6975790000000001
100	1	5	10000	0.681195
100	1	5	100000	0.689159
100	1	5	1000000	0.689559
100	1	6	10000	0.651565
100	1	6	100000	0.6933440000000001
100	1	6	1000000	0.6933440000000001
100	1	7	10000	0.669289
100	1	7	100000	0.719932
100	1	7	1000000	0.719932
100	1	8	10000	0.644203
100	1	8	100000	0.680894
100	1	8	1000000	0.680894
100	1	9	10000	0.6801200000000001
100	1	9	100000	0.724451
100	1	9	1000000	0.7267100000000001
100	2	0	10000	0.716425
100	2	0	100000	0.7635580000000001
100	2	0	1000000	0.764871
100	2	1	10000	0.7348680000000001
100	2	1	100000	0.762915
100	2	1	1000000	0.7647400000000001
100	2	2	10000	0.62936
100	2	2	100000	0.7432949999999999
100	2	2	1000000	0.751483
100	2	3	10000	0.730679
100	2	3	100000	0.7455729999999999
100	2	3	1000000	0.747162
100	2	4	10000	0.728666
100	2	4	100000	0.7452989999999999
100	2	4	1000000	0.746924
100	2	5	10000	0.6696169999999999
100	2	5	100000	0.7385200000000001
100	2	5	1000000	0.738828
100	2	6	10000	0.663023
100	2	6	100000	0.7717449999999999
100	2	6	1000000	0.7717449999999999
100	2	7	10000	0.686001
100	2	7	100000	0.7064830000000001
100	2	7	1000000	0.71315
100	2	8	10000	0.6909770000000001
100	2	8	100000	0.749619
100	2	8	1000000	0.753616
100	2	9	10000	0.7228530000000001
100	2	9	100000	0.750338
100	2	9	1000000	0.7528050000000001
100	4	0	10000	0.716413
100	4	0	100000	0.7902549999999999
100	4	0	1000000	0.7942619999999999
100	4	1	10000	0.690423
100	4	1	100000	0.778519
100	4	1	1000000	0.783498
100	4	2	10000	0.744416
100	4	2	100000	0.783455
100	4	2	1000000	0.788318
100	4	3	10000	0.6576529999999999
100	4	3	100000	0.770268
100	4	3	1000000	0.776839
100	4	4	10000	0.632909
100	4	4	100000	0.7699389999999999
100	4	4	1000000	0.778419
100	4	5	10000	0.7099
100	4	5	100000	0.775041
100	4	5	1000000	0.775041
100	4	6	10000	0.7404000000000001
100	4	6	100000	0.779944
100	4	6	1000000	0.779944
100	4	7	10000	0.743862
100	4	7	100000	0.7640049999999999
100	4	7	1000000	0.7862600000000001
100	4	8	10000	0.6863389999999999
100	4	8	100000	0.793395
100	4	8	1000000	0.7951630000000001
100	4	9	10000	0.696145
100	4	9	100000	0.779781
100	4	9	1000000	0.7862
100	8	0	10000	0.721832
100	8	0	100000	0.742993
100	8	0	1000000	0.768475
100	8	1	10000	0.6896469999999999
100	8	1	100000	0.7519979999999999
100	8	1	1000000	0.7677710000000001
100	8	2	10000	0.624127
100	8	2	100000	0.7591110000000001
100	8	2	1000000	0.775031
100	8	3	10000	0.551372
100	8	3	100000	0.772894
100	8	3	1000000	0.772894
100	8	4	10000	0.5283059999999999
100	8	4	100000	0.767395
100	8	4	1000000	0.7908700000000001
100	8	5	10000	0.725963
100	8	5	100000	0.754195
100	8	5	1000000	0.770102
100	8	6	10000	0.5982930000000001
100	8	6	100000	0.7536450000000001
100	8	6	1000000	0.7721429999999999
100	8	7	10000	0.7365609999999999
100	8	7	100000	0.749147
100	8	7	1000000	0.7659279999999999
100	8	8	10000	0.687929
100	8	8	100000	0.768054
100	8	8	1000000	0.768054
100	8	9	10000	0.564523
100	8	9	100000	0.7702849999999999
100	8	9	1000000	0.7702849999999999
200	0	0	10000	0.54601
200	0	0	100000	0.6670099999999999
200	0	0	1000000	0.6670099999999999
200	0	1	10000	0.520365
200	0	1	100000	0.6492950000000001
200	0	1	1000000	0.6492950000000001
200	0	2	10000	0.54789
200	0	2	100000	0.6635800000000001
200	0	2	1000000	0.6635800000000001
200	0	3	10000	0.55112
200	0	3	100000	0.66841
200	0	3	1000000	0.66841
200	0	4	10000	0.54156
200	0	4	100000	0.654075
200	0	4	1000000	0.654075
200	0	5	10000	0.54377
200	0	5	100000	0.67
200	0	5	1000000	0.67
200	0	6	10000	0.55864
200	0	6	100000	0.672635
200	0	6	1000000	0.672635
200	0	7	10000	0.564865
200	0	7	100000	0.6800799999999999
200	0	7	1000000	0.6800799999999999
200	0	8	10000	0.5359
200	0	8	100000	0.64736
200	0	8	1000000	0.64736
200	0	9	10000	0.558835
200	0	9	100000	0.6697
200	0	9	1000000	0.6697
200	1	0	10000	0.534235
200	1	0	100000	0.7154200000000001
200	1	0	1000000	0.7154200000000001
200	1	1	10000	0.544805
200	1	1	100000	0.703725
200	1	1	1000000	0.7042
200	1	2	10000	0.53525
200	1	2	100000	0.703585
200	1	2	1000000	0.7043250000000001
200	1	3	10000	0.53989
200	1	3	100000	0.725885
200	1	3	1000000	0.726035
200	1	4	10000	0.5216850000000001
200	1	4	100000	0.7028700000000001
200	1	4	1000000	0.70352
200	1	5	10000	0.55175
200	1	5	100000	0.70056
200	1	5	1000000	0.705405
200	1	6	10000	0.566805
200	1	6	100000	0.6968949999999999
200	1	6	1000000	0.698
200	1	7	10000	0.545105
200	1	7	100000	0.72032
200	1	7	1000000	0.721845
200	1	8	10000	0.571645
200	1	8	100000	0.708595
200	1	8	1000000	0.7112
200	1	9	10000	0.543835
200	1	9	100000	0.70588
200	1	9	1000000	0.7070449999999999
200	2	0	10000	0.541365
200	2	0	100000	0.7310450000000001
200	2	0	1000000	0.738105
200	2	1	10000	0.550195
200	2	1	100000	0.73095
200	2	1	1000000	0.7406100000000001
200	2	2	10000	0.576395
200	2	2	100000	0.73789
200	2	2	1000000	0.74339
200	2	3	10000	0.576495
200	2	3	100000	0.73565
200	2	3	1000000	0.7368049999999999
200	2	4	10000	0.547265
200	2	4	100000	0.72803
200	2	4	1000000	0.735565
200	2	5	10000	0.5456
200	2	5	100000	0.72611
200	2	5	1000000	0.733215
200	2	6	10000	0.53896
200	2	6	100000	0.7346250000000001
200	2	6	1000000	0.7373099999999999
200	2	7	10000	0.57123
200	2	7	100000	0.732685
200	2	7	1000000	0.734565
200	2	8	10000	0.580175
200	2	8	100000	0.746915
200	2	8	1000000	0.7488800000000001
200	2	9	10000	0.551525
200	2	9	100000	0.740265
200	2	9	1000000	0.745065
200	4	0	10000	0.6269100000000001
200	4	0	100000	0.7729699999999999
200	4	0	1000000	0.7851300000000001
200	4	1	10000	0.5680149999999999
200	4	1	100000	0.77323
200	4	1	1000000	0.7754000000000001
200	4	2	10000	0.6129950000000001
200	4	2	100000	0.77904
200	4	2	1000000	0.78873
200	4	3	10000	0.535455
200	4	3	100000	0.7675700000000001
200	4	3	1000000	0.781605
200	4	4	10000	0.512105
200	4	4	100000	0.755535
200	4	4	1000000	0.7768349999999999
200	4	5	10000	0.5683250000000001
200	4	5	100000	0.77161
200	4	5	1000000	0.7822199999999999
200	4	6	10000	0.527455
200	4	6	100000	0.7693800000000001
200	4	6	1000000	0.770455
200	4	7	10000	0.524265
200	4	7	100000	0.75877
200	4	7	1000000	0.7695000000000001
200	4	8	10000	0.55346
200	4	8	100000	0.76912
200	4	8	1000000	0.76912
200	4	9	10000	0.50849
200	4	9	100000	0.7600549999999999
200	4	9	1000000	0.7659900000000001
200	8	0	10000	0.51542
200	8	0	100000	0.747125
200	8	0	1000000	0.77065
200	8	1	10000	0.545975
200	8	1	100000	0.757955
200	8	1	1000000	0.7680500000000001
200	8	2	10000	0.53535
200	8	2	100000	0.73981
200	8	2	1000000	0.7645399999999999
200	8	3	10000	0.51109
200	8	3	100000	0.7468049999999999
200	8	3	1000000	0.767305
200	8	4	10000	0.5254449999999999
200	8	4	100000	0.7433
200	8	4	1000000	0.770025
200	8	5	10000	0.500745
200	8	5	100000	0.747085
200	8	5	1000000	0.7665000000000001
200	8	6	10000	0.5297999999999999
200	8	6	100000	0.756465
200	8	6	1000000	0.76039
200	8	7	10000	0.536485
200	8	7	100000	0.762075
200	8	7	1000000	0.7690300000000001
200	8	8	10000	0.504655
200	8	8	100000	0.7648950000000001
200	8	8	1000000	0.7714799999999999
200	8	9	10000	0.494707
200	8	9	100000	0.7503350000000001
200	8	9	1000000	0.763335
