N	K	numinstance	budget	fitness
100	0	9	10000	0.684029
100	0	9	100000	0.684029
100	0	9	1000000	0.684029
100	1	0	10000	0.6995
100	1	0	100000	0.7023959999999999
100	1	0	1000000	0.7023959999999999
100	1	1	10000	0.676712
100	1	1	100000	0.679267
100	1	1	1000000	0.6815640000000001
100	1	2	10000	0.708114
100	1	2	100000	0.7093590000000001
100	1	2	1000000	0.7093590000000001
100	1	3	10000	0.696498
100	1	3	100000	0.6975549999999999
100	1	3	1000000	0.697618
100	1	4	10000	0.697338
100	1	4	100000	0.697338
100	1	4	1000000	0.697338
100	1	5	10000	0.68438
100	1	5	100000	0.689424
100	1	5	1000000	0.689559
100	1	6	10000	0.6926990000000001
100	1	6	100000	0.6926990000000001
100	1	6	1000000	0.6933440000000001
100	1	7	10000	0.7130629999999999
100	1	7	100000	0.717263
100	1	7	1000000	0.719932
100	1	8	10000	0.674307
100	1	8	100000	0.6794830000000001
100	1	8	1000000	0.680894
100	1	9	10000	0.724412
100	1	9	100000	0.7267100000000001
100	1	9	1000000	0.7267100000000001
100	2	0	10000	0.7575360000000001
100	2	0	100000	0.760587
100	2	0	1000000	0.7631279999999999
100	2	1	10000	0.756439
100	2	1	100000	0.760855
100	2	1	1000000	0.7647400000000001
100	2	2	10000	0.7389140000000001
100	2	2	100000	0.748899
100	2	2	1000000	0.751482
100	2	3	10000	0.744678
100	2	3	100000	0.744678
100	2	3	1000000	0.748341
100	2	4	10000	0.7287359999999999
100	2	4	100000	0.744388
100	2	4	1000000	0.7461660000000001
100	2	5	10000	0.723382
100	2	5	100000	0.7310469999999999
100	2	5	1000000	0.7385200000000001
100	2	6	10000	0.765352
100	2	6	100000	0.7702450000000001
100	2	6	1000000	0.7717449999999999
100	2	7	10000	0.699228
100	2	7	100000	0.711875
100	2	7	1000000	0.715404
100	2	8	10000	0.739812
100	2	8	100000	0.750432
100	2	8	1000000	0.752597
100	2	9	10000	0.740637
100	2	9	100000	0.750419
100	2	9	1000000	0.750515
100	4	0	10000	0.7757510000000001
100	4	0	100000	0.788919
100	4	0	1000000	0.7942619999999999
100	4	1	10000	0.75824
100	4	1	100000	0.776682
100	4	1	1000000	0.7869320000000001
100	4	2	10000	0.768393
100	4	2	100000	0.784944
100	4	2	1000000	0.788095
100	4	3	10000	0.764053
100	4	3	100000	0.7752129999999999
100	4	3	1000000	0.7765179999999999
100	4	4	10000	0.763539
100	4	4	100000	0.773342
100	4	4	1000000	0.7746160000000001
100	4	5	10000	0.769845
100	4	5	100000	0.769845
100	4	5	1000000	0.77851
100	4	6	10000	0.761511
100	4	6	100000	0.774011
100	4	6	1000000	0.779373
100	4	7	10000	0.7615460000000001
100	4	7	100000	0.7719849999999999
100	4	7	1000000	0.779395
100	4	8	10000	0.7628159999999999
100	4	8	100000	0.789242
100	4	8	1000000	0.794471
100	4	9	10000	0.755799
100	4	9	100000	0.7768609999999999
100	4	9	1000000	0.781234
100	8	0	10000	0.7484780000000001
100	8	0	100000	0.761685
100	8	0	1000000	0.772347
100	8	1	10000	0.741653
100	8	1	100000	0.756961
100	8	1	1000000	0.769941
100	8	2	10000	0.753841
100	8	2	100000	0.769624
100	8	2	1000000	0.769624
100	8	3	10000	0.752408
100	8	3	100000	0.766505
100	8	3	1000000	0.770866
100	8	4	10000	0.7456510000000001
100	8	4	100000	0.7568590000000001
100	8	4	1000000	0.77653
100	8	5	10000	0.757707
100	8	5	100000	0.7618210000000001
100	8	5	1000000	0.7712350000000001
100	8	6	10000	0.769803
100	8	6	100000	0.7750020000000001
100	8	6	1000000	0.777123
100	8	7	10000	0.7519100000000001
100	8	7	100000	0.755416
100	8	7	1000000	0.7776569999999999
100	8	8	10000	0.747475
100	8	8	100000	0.761391
100	8	8	1000000	0.775019
100	8	9	10000	0.75149
100	8	9	100000	0.7715989999999999
100	8	9	1000000	0.774537
200	0	0	10000	0.6670099999999999
200	0	0	100000	0.6670099999999999
200	0	0	1000000	0.6670099999999999
200	0	1	10000	0.6492950000000001
200	0	1	100000	0.6492950000000001
200	0	1	1000000	0.6492950000000001
200	0	2	10000	0.6635800000000001
200	0	2	100000	0.6635800000000001
200	0	2	1000000	0.6635800000000001
200	0	3	10000	0.66841
200	0	3	100000	0.66841
200	0	3	1000000	0.66841
200	0	4	10000	0.654075
200	0	4	100000	0.654075
200	0	4	1000000	0.654075
200	0	5	10000	0.67
200	0	5	100000	0.67
200	0	5	1000000	0.67
200	0	6	10000	0.672635
200	0	6	100000	0.672635
200	0	6	1000000	0.672635
200	0	7	10000	0.6800799999999999
200	0	7	100000	0.6800799999999999
200	0	7	1000000	0.6800799999999999
200	0	8	10000	0.64736
200	0	8	100000	0.64736
200	0	8	1000000	0.64736
200	0	9	10000	0.6697
200	0	9	100000	0.6697
200	0	9	1000000	0.6697
200	1	0	10000	0.7127899999999999
200	1	0	100000	0.71299
200	1	0	1000000	0.71494
200	1	1	10000	0.703055
200	1	1	100000	0.704015
200	1	1	1000000	0.704015
200	1	2	10000	0.704005
200	1	2	100000	0.704005
200	1	2	1000000	0.7043250000000001
200	1	3	10000	0.717215
200	1	3	100000	0.7250749999999999
200	1	3	1000000	0.7250749999999999
200	1	4	10000	0.686835
200	1	4	100000	0.7009399999999999
200	1	4	1000000	0.703245
200	1	5	10000	0.70001
200	1	5	100000	0.702705
200	1	5	1000000	0.70367
200	1	6	10000	0.689615
200	1	6	100000	0.6941849999999999
200	1	6	1000000	0.695915
200	1	7	10000	0.7151049999999999
200	1	7	100000	0.719905
200	1	7	1000000	0.7204699999999999
200	1	8	10000	0.696815
200	1	8	100000	0.70875
200	1	8	1000000	0.7105
200	1	9	10000	0.689075
200	1	9	100000	0.7031149999999999
200	1	9	1000000	0.70574
200	2	0	10000	0.715245
200	2	0	100000	0.732795
200	2	0	1000000	0.7350749999999999
200	2	1	10000	0.713785
200	2	1	100000	0.73258
200	2	1	1000000	0.7370399999999999
200	2	2	10000	0.7059449999999999
200	2	2	100000	0.74187
200	2	2	1000000	0.742845
200	2	3	10000	0.71918
200	2	3	100000	0.7385299999999999
200	2	3	1000000	0.738635
200	2	4	10000	0.71828
200	2	4	100000	0.7220300000000001
200	2	4	1000000	0.73033
200	2	5	10000	0.69581
200	2	5	100000	0.7271
200	2	5	1000000	0.7303499999999999
200	2	6	10000	0.7258150000000001
200	2	6	100000	0.7323149999999999
200	2	6	1000000	0.735915
200	2	7	10000	0.72051
200	2	7	100000	0.7333750000000001
200	2	7	1000000	0.73351
200	2	8	10000	0.74155
200	2	8	100000	0.74155
200	2	8	1000000	0.74911
200	2	9	10000	0.728575
200	2	9	100000	0.7420300000000001
200	2	9	1000000	0.7445999999999999
200	4	0	10000	0.762385
200	4	0	100000	0.77267
200	4	0	1000000	0.782795
200	4	1	10000	0.76562
200	4	1	100000	0.766045
200	4	1	1000000	0.7738700000000001
200	4	2	10000	0.754705
200	4	2	100000	0.7723650000000001
200	4	2	1000000	0.78684
200	4	3	10000	0.756855
200	4	3	100000	0.7715049999999999
200	4	3	1000000	0.7791
200	4	4	10000	0.7653700000000001
200	4	4	100000	0.7653700000000001
200	4	4	1000000	0.76988
200	4	5	10000	0.769225
200	4	5	100000	0.77526
200	4	5	1000000	0.7803249999999999
200	4	6	10000	0.754495
200	4	6	100000	0.7670950000000001
200	4	6	1000000	0.76877
200	4	7	10000	0.75276
200	4	7	100000	0.7660049999999999
200	4	7	1000000	0.767315
200	4	8	10000	0.755475
200	4	8	100000	0.76125
200	4	8	1000000	0.77128
200	4	9	10000	0.749565
200	4	9	100000	0.757015
200	4	9	1000000	0.76629
200	8	0	10000	0.728095
200	8	0	100000	0.754365
200	8	0	1000000	0.769445
200	8	1	10000	0.719965
200	8	1	100000	0.7646999999999999
200	8	1	1000000	0.76577
200	8	2	10000	0.74346
200	8	2	100000	0.75614
200	8	2	1000000	0.76574
200	8	3	10000	0.685055
200	8	3	100000	0.7582049999999999
200	8	3	1000000	0.781045
200	8	4	10000	0.6694100000000001
200	8	4	100000	0.7672100000000001
200	8	4	1000000	0.76864
200	8	5	10000	0.6628499999999999
200	8	5	100000	0.755285
200	8	5	1000000	0.7676149999999999
200	8	6	10000	0.74012
200	8	6	100000	0.7583150000000001
200	8	6	1000000	0.7748149999999999
200	8	7	10000	0.7325849999999999
200	8	7	100000	0.758935
200	8	7	1000000	0.76969
200	8	8	10000	0.7199450000000001
200	8	8	100000	0.7633
200	8	8	1000000	0.771305
200	8	9	10000	0.70867
200	8	9	100000	0.75425
200	8	9	1000000	0.76267
