N	K	numinstance	budget	fitness
100	0	9	10000	0.684029
100	0	9	100000	0.684029
100	0	9	1000000	0.684029
100	1	0	10000	0.675974
100	1	0	100000	0.698637
100	1	0	1000000	0.699847
100	1	1	10000	0.670971
100	1	1	100000	0.6732689999999999
100	1	1	1000000	0.6759090000000001
100	1	2	10000	0.688493
100	1	2	100000	0.700091
100	1	2	1000000	0.703592
100	1	3	10000	0.661512
100	1	3	100000	0.6907989999999999
100	1	3	1000000	0.6950069999999999
100	1	4	10000	0.6816160000000001
100	1	4	100000	0.6911419999999999
100	1	4	1000000	0.6951130000000001
100	1	5	10000	0.660538
100	1	5	100000	0.679864
100	1	5	1000000	0.681139
100	1	6	10000	0.6470279999999999
100	1	6	100000	0.681413
100	1	6	1000000	0.684495
100	1	7	10000	0.676357
100	1	7	100000	0.711781
100	1	7	1000000	0.711781
100	1	8	10000	0.6388510000000001
100	1	8	100000	0.663304
100	1	8	1000000	0.670239
100	1	9	10000	0.71705
100	1	9	100000	0.719462
100	1	9	1000000	0.724982
100	2	0	10000	0.7355849999999999
100	2	0	100000	0.759087
100	2	0	1000000	0.759087
100	2	1	10000	0.715454
100	2	1	100000	0.750112
100	2	1	1000000	0.75303
100	2	2	10000	0.695325
100	2	2	100000	0.7399469999999999
100	2	2	1000000	0.7399469999999999
100	2	3	10000	0.7035330000000001
100	2	3	100000	0.727479
100	2	3	1000000	0.738233
100	2	4	10000	0.692963
100	2	4	100000	0.720204
100	2	4	1000000	0.736672
100	2	5	10000	0.6852290000000001
100	2	5	100000	0.717606
100	2	5	1000000	0.7232940000000001
100	2	6	10000	0.6821630000000001
100	2	6	100000	0.7614310000000001
100	2	6	1000000	0.7614310000000001
100	2	7	10000	0.6707380000000001
100	2	7	100000	0.691647
100	2	7	1000000	0.707113
100	2	8	10000	0.720393
100	2	8	100000	0.7295130000000001
100	2	8	1000000	0.741014
100	2	9	10000	0.7061230000000001
100	2	9	100000	0.728317
100	2	9	1000000	0.7426130000000001
100	4	0	10000	0.629351
100	4	0	100000	0.751884
100	4	0	1000000	0.7859579999999999
100	4	1	10000	0.570565
100	4	1	100000	0.7369
100	4	1	1000000	0.7693720000000001
100	4	2	10000	0.610549
100	4	2	100000	0.7492759999999999
100	4	2	1000000	0.761036
100	4	3	10000	0.517529
100	4	3	100000	0.7319070000000001
100	4	3	1000000	0.757436
100	4	4	10000	0.569604
100	4	4	100000	0.753929
100	4	4	1000000	0.759883
100	4	5	10000	0.60228
100	4	5	100000	0.742821
100	4	5	1000000	0.748459
100	4	6	10000	0.578522
100	4	6	100000	0.73614
100	4	6	1000000	0.7530249999999999
100	4	7	10000	0.629726
100	4	7	100000	0.74555
100	4	7	1000000	0.751723
100	4	8	10000	0.570782
100	4	8	100000	0.768149
100	4	8	1000000	0.773472
100	4	9	10000	0.566392
100	4	9	100000	0.7522199999999999
100	4	9	1000000	0.759197
100	8	0	10000	0.563472
100	8	0	100000	0.727312
100	8	0	1000000	0.769412
100	8	1	10000	0.563586
100	8	1	100000	0.733382
100	8	1	1000000	0.744483
100	8	2	10000	0.5019290000000001
100	8	2	100000	0.716942
100	8	2	1000000	0.735394
100	8	3	10000	0.530549
100	8	3	100000	0.7227429999999999
100	8	3	1000000	0.752889
100	8	4	10000	0.510484
100	8	4	100000	0.7359300000000001
100	8	4	1000000	0.7461990000000001
100	8	5	10000	0.556654
100	8	5	100000	0.743249
100	8	5	1000000	0.752672
100	8	6	10000	0.5473089999999999
100	8	6	100000	0.730442
100	8	6	1000000	0.754088
100	8	7	10000	0.612348
100	8	7	100000	0.728516
100	8	7	1000000	0.740243
100	8	8	10000	0.539668
100	8	8	100000	0.752548
100	8	8	1000000	0.752548
100	8	9	10000	0.51921
100	8	9	100000	0.741117
100	8	9	1000000	0.749049
200	0	0	10000	0.536255
200	0	0	100000	0.6670099999999999
200	0	0	1000000	0.6670099999999999
200	0	1	10000	0.506065
200	0	1	100000	0.6492950000000001
200	0	1	1000000	0.6492950000000001
200	0	2	10000	0.537355
200	0	2	100000	0.6635800000000001
200	0	2	1000000	0.6635800000000001
200	0	3	10000	0.53517
200	0	3	100000	0.66841
200	0	3	1000000	0.66841
200	0	4	10000	0.53049
200	0	4	100000	0.654075
200	0	4	1000000	0.654075
200	0	5	10000	0.52793
200	0	5	100000	0.67
200	0	5	1000000	0.67
200	0	6	10000	0.547395
200	0	6	100000	0.672635
200	0	6	1000000	0.672635
200	0	7	10000	0.56224
200	0	7	100000	0.6800799999999999
200	0	7	1000000	0.6800799999999999
200	0	8	10000	0.5275500000000001
200	0	8	100000	0.64736
200	0	8	1000000	0.64736
200	0	9	10000	0.5520900000000001
200	0	9	100000	0.6697
200	0	9	1000000	0.6697
200	1	0	10000	0.5100549999999999
200	1	0	100000	0.7051850000000001
200	1	0	1000000	0.708435
200	1	1	10000	0.54106
200	1	1	100000	0.69664
200	1	1	1000000	0.69664
200	1	2	10000	0.527085
200	1	2	100000	0.684555
200	1	2	1000000	0.69718
200	1	3	10000	0.52644
200	1	3	100000	0.7095699999999999
200	1	3	1000000	0.712975
200	1	4	10000	0.4825005
200	1	4	100000	0.6781999999999999
200	1	4	1000000	0.68779
200	1	5	10000	0.50226
200	1	5	100000	0.6733750000000001
200	1	5	1000000	0.684045
200	1	6	10000	0.54452
200	1	6	100000	0.6823699999999999
200	1	6	1000000	0.68431
200	1	7	10000	0.52717
200	1	7	100000	0.695855
200	1	7	1000000	0.70148
200	1	8	10000	0.53081
200	1	8	100000	0.698405
200	1	8	1000000	0.698405
200	1	9	10000	0.521705
200	1	9	100000	0.686465
200	1	9	1000000	0.690835
200	2	0	10000	0.53828
200	2	0	100000	0.7092350000000001
200	2	0	1000000	0.71434
200	2	1	10000	0.50526
200	2	1	100000	0.70482
200	2	1	1000000	0.7281749999999999
200	2	2	10000	0.517965
200	2	2	100000	0.7129300000000001
200	2	2	1000000	0.723475
200	2	3	10000	0.54445
200	2	3	100000	0.699265
200	2	3	1000000	0.71288
200	2	4	10000	0.51233
200	2	4	100000	0.696735
200	2	4	1000000	0.7082599999999999
200	2	5	10000	0.51651
200	2	5	100000	0.69935
200	2	5	1000000	0.70903
200	2	6	10000	0.501265
200	2	6	100000	0.720595
200	2	6	1000000	0.72543
200	2	7	10000	0.5402049999999999
200	2	7	100000	0.6941299999999999
200	2	7	1000000	0.709535
200	2	8	10000	0.56024
200	2	8	100000	0.71794
200	2	8	1000000	0.73316
200	2	9	10000	0.50661
200	2	9	100000	0.711975
200	2	9	1000000	0.72257
200	4	0	10000	0.540795
200	4	0	100000	0.7198300000000001
200	4	0	1000000	0.7468049999999999
200	4	1	10000	0.521545
200	4	1	100000	0.724915
200	4	1	1000000	0.73456
200	4	2	10000	0.574655
200	4	2	100000	0.72564
200	4	2	1000000	0.7391500000000001
200	4	3	10000	0.52555
200	4	3	100000	0.7123
200	4	3	1000000	0.7472150000000001
200	4	4	10000	0.501185
200	4	4	100000	0.717105
200	4	4	1000000	0.746345
200	4	5	10000	0.53646
200	4	5	100000	0.708995
200	4	5	1000000	0.74208
200	4	6	10000	0.50479
200	4	6	100000	0.70203
200	4	6	1000000	0.74399
200	4	7	10000	0.4967785
200	4	7	100000	0.725365
200	4	7	1000000	0.74152
200	4	8	10000	0.525385
200	4	8	100000	0.71817
200	4	8	1000000	0.74009
200	4	9	10000	0.49111550000000004
200	4	9	100000	0.7287399999999999
200	4	9	1000000	0.7362949999999999
200	8	0	10000	0.49680100000000005
200	8	0	100000	0.5913
200	8	0	1000000	0.73384
200	8	1	10000	0.497188
200	8	1	100000	0.59029
200	8	1	1000000	0.727965
200	8	2	10000	0.530975
200	8	2	100000	0.623725
200	8	2	1000000	0.73264
200	8	3	10000	0.508055
200	8	3	100000	0.599815
200	8	3	1000000	0.7297899999999999
200	8	4	10000	0.520695
200	8	4	100000	0.59529
200	8	4	1000000	0.7313249999999999
200	8	5	10000	0.4885005
200	8	5	100000	0.56976
200	8	5	1000000	0.728425
200	8	6	10000	0.51879
200	8	6	100000	0.623185
200	8	6	1000000	0.731725
200	8	7	10000	0.51792
200	8	7	100000	0.605415
200	8	7	1000000	0.73127
200	8	8	10000	0.50387
200	8	8	100000	0.599295
200	8	8	1000000	0.744085
200	8	9	10000	0.468016
200	8	9	100000	0.54775
200	8	9	1000000	0.73335
