N	K	numinstance	budget	fitness
50	4	6	100000	0.7733960000000001
50	4	6	1000000	0.7733960000000001
50	4	7	10000	0.766934
50	4	7	100000	0.7700520000000001
50	4	7	1000000	0.77432
50	4	8	10000	0.749126
50	4	8	100000	0.7555759999999999
50	4	8	1000000	0.755636
50	4	9	10000	0.74887
50	4	9	100000	0.7708360000000001
50	4	9	1000000	0.778878
50	8	0	10000	0.771996
50	8	0	100000	0.7818160000000001
50	8	0	1000000	0.7818160000000001
50	8	1	10000	0.757556
50	8	1	100000	0.770106
50	8	1	1000000	0.7835380000000001
50	8	2	10000	0.7513219999999999
50	8	2	100000	0.7641119999999999
50	8	2	1000000	0.780234
50	8	3	10000	0.751724
50	8	3	100000	0.7762439999999999
50	8	3	1000000	0.788112
50	8	4	10000	0.745604
50	8	4	100000	0.7612399999999999
50	8	4	1000000	0.799384
50	8	5	10000	0.770592
50	8	5	100000	0.770592
50	8	5	1000000	0.786416
50	8	6	10000	0.7691020000000001
50	8	6	100000	0.7691020000000001
50	8	6	1000000	0.781914
50	8	7	10000	0.762256
50	8	7	100000	0.7754840000000001
50	8	7	1000000	0.780082
50	8	8	10000	0.736772
50	8	8	100000	0.7695780000000001
50	8	8	1000000	0.799754
50	8	9	10000	0.7522580000000001
50	8	9	100000	0.76582
50	8	9	1000000	0.7869799999999999
100	0	0	10000	0.6723709999999999
100	0	0	100000	0.6723709999999999
100	0	0	1000000	0.6723709999999999
100	0	1	10000	0.6807510000000001
100	0	1	100000	0.6807510000000001
100	0	1	1000000	0.6807510000000001
100	0	2	10000	0.6416540000000001
100	0	2	100000	0.6416540000000001
100	0	2	1000000	0.6416540000000001
100	0	3	10000	0.681964
100	0	3	100000	0.681964
100	0	3	1000000	0.681964
100	0	4	10000	0.659752
100	0	4	100000	0.659752
100	0	4	1000000	0.659752
100	0	5	10000	0.6622159999999999
100	0	5	100000	0.6622159999999999
100	0	5	1000000	0.6622159999999999
100	0	6	10000	0.68486
100	0	6	100000	0.68486
100	0	6	1000000	0.68486
100	0	7	10000	0.638687
100	0	7	100000	0.638687
100	0	7	1000000	0.638687
100	0	8	10000	0.636227
100	0	8	100000	0.636227
100	0	8	1000000	0.636227
100	0	9	10000	0.684029
100	0	9	100000	0.684029
100	0	9	1000000	0.684029
100	1	0	10000	0.701755
100	1	0	100000	0.7023959999999999
100	1	0	1000000	0.7023959999999999
100	1	1	10000	0.6787399999999999
100	1	1	100000	0.6798470000000001
100	1	1	1000000	0.6815640000000001
100	1	2	10000	0.706471
100	1	2	100000	0.709345
100	1	2	1000000	0.7093590000000001
100	1	3	10000	0.695576
100	1	3	100000	0.697618
100	1	3	1000000	0.697618
100	1	4	10000	0.695047
100	1	4	100000	0.695596
100	1	4	1000000	0.696819
100	1	5	10000	0.686049
100	1	5	100000	0.689024
100	1	5	1000000	0.689559
100	1	6	10000	0.6900270000000001
100	1	6	100000	0.6910930000000001
