type	N	numinstance	numrun	budget	fitness	comment
uf	50	0	5	10000	217	seed=numrun*10^6
uf	50	0	5	100000	218	seed=numrun*10^6
uf	50	1	5	10000	217	seed=numrun*10^6
uf	50	1	5	100000	218	seed=numrun*10^6
uf	50	2	5	10000	217	seed=numrun*10^6
uf	50	2	5	100000	218	seed=numrun*10^6
uf	50	3	5	10000	217	seed=numrun*10^6
uf	50	3	5	100000	218	seed=numrun*10^6
uf	50	4	5	10000	217	seed=numrun*10^6
uf	50	4	5	100000	218	seed=numrun*10^6
uf	50	5	5	10000	217	seed=numrun*10^6
uf	50	5	5	100000	218	seed=numrun*10^6
uf	50	6	5	10000	217	seed=numrun*10^6
uf	50	6	5	100000	218	seed=numrun*10^6
uf	50	7	5	10000	217	seed=numrun*10^6
uf	50	7	5	100000	218	seed=numrun*10^6
uf	50	8	5	10000	217	seed=numrun*10^6
uf	50	8	5	100000	218	seed=numrun*10^6
uf	50	9	5	10000	217	seed=numrun*10^6
uf	50	9	5	100000	218	seed=numrun*10^6
uf	50	0	6	10000	216	seed=numrun*10^6
uf	50	0	6	100000	218	seed=numrun*10^6
uf	50	1	6	10000	216	seed=numrun*10^6
uf	50	1	6	100000	218	seed=numrun*10^6
uf	50	2	6	10000	216	seed=numrun*10^6
uf	50	2	6	100000	218	seed=numrun*10^6
uf	50	3	6	10000	216	seed=numrun*10^6
uf	50	3	6	100000	218	seed=numrun*10^6
uf	50	4	6	10000	216	seed=numrun*10^6
uf	50	4	6	100000	218	seed=numrun*10^6
uf	50	5	6	10000	216	seed=numrun*10^6
uf	50	5	6	100000	218	seed=numrun*10^6
uf	50	6	6	10000	216	seed=numrun*10^6
uf	50	6	6	100000	218	seed=numrun*10^6
uf	50	7	6	10000	216	seed=numrun*10^6
uf	50	7	6	100000	218	seed=numrun*10^6
uf	50	8	6	10000	216	seed=numrun*10^6
uf	50	8	6	100000	218	seed=numrun*10^6
uf	50	9	6	10000	216	seed=numrun*10^6
uf	50	9	6	100000	218	seed=numrun*10^6
uf	50	0	7	10000	216	seed=numrun*10^6
uf	50	0	7	100000	218	seed=numrun*10^6
uf	50	1	7	10000	216	seed=numrun*10^6
uf	50	1	7	100000	218	seed=numrun*10^6
uf	50	2	7	10000	216	seed=numrun*10^6
uf	50	2	7	100000	218	seed=numrun*10^6
uf	50	3	7	10000	216	seed=numrun*10^6
uf	50	3	7	100000	218	seed=numrun*10^6
uf	50	4	7	10000	216	seed=numrun*10^6
uf	50	4	7	100000	218	seed=numrun*10^6
